episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
0,180.0,99,1.0,180.0,99.0
1,240.0,99,0.9901493354116763,210.0,99.0
2,60.0,99,0.9803966865736877,160.0,99.0
3,210.0,99,0.970741078213023,172.5,99.0
4,150.0,99,0.9611815447608,168.0,99.0
5,120.0,99,0.9517171302557069,160.0,99.0
6,170.0,99,0.9423468882484062,161.42857142857142,99.0
7,210.0,99,0.9330698817068886,167.5,99.0
8,150.0,99,0.9238851829227694,165.55555555555554,99.0
9,30.0,99,0.9147918734185159,152.0,99.0
10,90.0,99,0.9057890438555999,146.36363636363637,99.0
11,60.0,99,0.896875793943563,139.16666666666666,99.0
12,30.0,99,0.888051232349986,130.76923076923077,99.0
13,60.0,99,0.8793144766113556,125.71428571428571,99.0
14,60.0,99,0.8706646530448178,121.33333333333333,99.0
15,60.0,99,0.8621008966608072,117.5,99.0
16,120.0,99,0.8536223510765493,117.6470588235294,99.0
17,260.0,99,0.8452281684304199,125.55555555555556,99.0
18,350.0,99,0.8369175092971592,137.3684210526316,99.0
19,60.0,99,0.8286895426039287,133.5,99.0
20,60.0,99,0.820543445547202,130.0,99.0
21,180.0,99,0.8124784035104852,132.27272727272728,99.0
22,180.0,99,0.8044936099828537,134.34782608695653,99.0
23,180.0,99,0.7965882664783007,136.25,99.0
24,60.0,99,0.7887615824558878,133.2,99.0
25,180.0,99,0.7810127752406908,135.0,99.0
26,40.0,99,0.7733410699455306,131.4814814814815,99.0
27,140.0,99,0.7657456993934846,131.78571428571428,99.0
28,190.0,99,0.7582259040411682,133.79310344827587,99.0
29,60.0,99,0.7507809319027796,131.33333333333334,99.0
30,120.0,99,0.7434100384749007,130.96774193548387,99.0
31,180.0,99,0.7361124866620463,132.5,99.0
32,60.0,99,0.7288875467029541,130.3030303030303,99.0
33,0.0,99,0.7217344960976069,126.47058823529412,99.0
34,180.0,99,0.7146526195349836,128.0,99.0
35,30.0,99,0.7076412088215263,125.27777777777777,99.0
