episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
0,220.0,99,1.0,220.0,99.0
1,140.0,99,0.9950623544007555,180.0,99.0
2,120.0,99,0.9901493354116763,160.0,99.0
3,150.0,99,0.985260820207032,157.5,99.0
4,120.0,99,0.9803966865736877,150.0,99.0
5,170.0,99,0.9755568129080493,153.33333333333334,99.0
6,90.0,99,0.970741078213023,144.28571428571428,99.0
7,0.0,99,0.9659493620949908,126.25,99.0
8,120.0,99,0.9611815447608,125.55555555555556,99.0
9,30.0,99,0.9564375070147688,116.0,99.0
10,290.0,99,0.9517171302557069,131.8181818181818,99.0
11,270.0,99,0.947020296473949,143.33333333333334,99.0
12,210.0,99,0.9423468882484062,148.46153846153845,99.0
13,150.0,99,0.9376967887436294,148.57142857142858,99.0
14,150.0,99,0.9330698817068886,148.66666666666666,99.0
15,120.0,99,0.9284660514652673,146.875,99.0
16,90.0,99,0.9238851829227694,143.52941176470588,99.0
17,90.0,99,0.9193271615574428,140.55555555555554,99.0
18,0.0,99,0.9147918734185159,133.1578947368421,99.0
19,60.0,99,0.9102792051235491,129.5,99.0
20,220.0,99,0.9057890438555999,133.8095238095238,99.0
21,60.0,99,0.9013212773604029,130.45454545454547,99.0
22,180.0,99,0.896875793943563,132.6086956521739,99.0
23,150.0,99,0.892452482467763,133.33333333333334,99.0
24,210.0,99,0.888051232349986,136.4,99.0
25,30.0,99,0.8836719335587494,132.30769230769232,99.0
26,120.0,99,0.8793144766113556,131.85185185185185,99.0
27,150.0,99,0.8749787525711541,132.5,99.0
28,100.0,99,0.8706646530448178,131.3793103448276,99.0
29,120.0,99,0.8663720701796339,131.0,99.0
30,120.0,99,0.8621008966608072,130.6451612903226,99.0
31,60.0,99,0.8578510257087774,128.4375,99.0
32,60.0,99,0.8536223510765493,126.36363636363636,99.0
33,210.0,99,0.8494147670470367,128.8235294117647,99.0
34,60.0,99,0.8452281684304199,126.85714285714286,99.0
35,120.0,99,0.8410624505615153,126.66666666666667,99.0
36,60.0,99,0.8369175092971592,124.86486486486487,99.0
37,120.0,99,0.8327932410136044,124.73684210526316,99.0
38,210.0,99,0.8286895426039287,126.92307692307692,99.0
39,70.0,99,0.8246063114754583,125.5,99.0
40,90.0,99,0.820543445547202,124.63414634146342,99.0
41,60.0,99,0.8165008432473004,123.0952380952381,99.0
42,150.0,99,0.8124784035104852,123.72093023255815,99.0
43,30.0,99,0.8084760257755536,121.5909090909091,99.0
44,30.0,99,0.8044936099828537,119.55555555555556,99.0
45,30.0,99,0.8005310565717833,117.6086956521739,99.0
46,90.0,99,0.7965882664783007,117.02127659574468,99.0
47,150.0,99,0.7926651411324482,117.70833333333333,99.0
48,0.0,99,0.7887615824558878,115.3061224489796,99.0
49,90.0,99,0.7848774928594494,114.8,99.0
50,60.0,99,0.7810127752406908,113.72549019607843,99.0
51,90.0,99,0.7771673329814701,113.26923076923077,99.0
52,120.0,99,0.7733410699455306,113.39622641509433,99.0
53,90.0,99,0.7695338904760971,112.96296296296296,99.0
54,60.0,99,0.7657456993934846,112.0,99.0
55,180.0,99,0.7619764019927188,113.21428571428571,99.0
56,150.0,99,0.7582259040411682,113.85964912280701,99.0
57,60.0,99,0.7544941117761887,112.93103448275862,99.0
58,150.0,99,0.7507809319027796,113.55932203389831,99.0
59,120.0,99,0.7470862715912503,113.66666666666667,99.0
60,60.0,99,0.7434100384749007,112.78688524590164,99.0
61,60.0,99,0.7397521406477116,111.93548387096774,99.0
62,140.0,99,0.7361124866620463,112.38095238095238,99.0
63,30.0,99,0.7324909855263663,111.09375,99.0
64,200.0,99,0.7288875467029541,112.46153846153847,99.0
65,70.0,99,0.7253020801056514,111.81818181818181,99.0
66,120.0,99,0.7217344960976069,111.94029850746269,99.0
67,120.0,99,0.7181847054890343,112.05882352941177,99.0
68,60.0,99,0.7146526195349836,111.30434782608695,99.0
69,90.0,99,0.711138149933122,111.0,99.0
70,0.0,99,0.7076412088215263,109.43661971830986,99.0
71,40.0,99,0.7041617087764868,108.47222222222223,99.0
72,60.0,99,0.7006995628103208,107.8082191780822,99.0
73,30.0,99,0.6972546843691991,106.75675675675676,99.0
74,90.0,99,0.6938269873309811,106.53333333333333,99.0
75,60.0,99,0.6904163860030625,105.92105263157895,99.0
76,30.0,99,0.6870227951202322,104.93506493506493,99.0
77,90.0,99,0.6836461298425418,104.74358974358974,99.0
78,60.0,99,0.680286305753183,104.17721518987342,99.0
79,90.0,99,0.676943238856379,104.0,99.0
80,60.0,99,0.6736168455752829,103.45679012345678,99.0
81,60.0,99,0.6703070427498896,102.92682926829268,99.0
82,30.0,99,0.6670137476349562,102.04819277108433,99.0
83,90.0,99,0.663736877897933,101.9047619047619,99.0
84,90.0,99,0.6604763516169062,101.76470588235294,99.0
85,90.0,99,0.6572320872785489,101.62790697674419,99.0
86,30.0,99,0.6540040037760834,100.80459770114942,99.0
87,30.0,99,0.6507920204072543,100.0,99.0
88,100.0,99,0.6475960568723099,100.0,99.0
89,80.0,99,0.6444160332719956,99.77777777777777,99.0
90,120.0,99,0.6412518701055556,100.0,99.0
91,30.0,99,0.638103488268746,99.23913043478261,99.0
92,100.0,99,0.6349708090518567,99.24731182795699,99.0
93,120.0,99,0.6318537541377444,99.46808510638297,99.0
94,30.0,99,0.6287522455998737,98.73684210526316,99.0
95,90.0,99,0.6256662059003698,98.64583333333333,99.0
96,150.0,99,0.6225955578880794,99.17525773195877,99.0
97,180.0,99,0.6195402247966423,100.0,99.0
