episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
0,60.0,99,1.0,60.0,99.0
1,120.0,99,1.0,90.0,99.0
2,120.0,99,1.0,100.0,99.0
3,120.0,99,1.0,105.0,99.0
4,120.0,99,1.0,108.0,99.0
5,120.0,99,1.0,110.0,99.0
6,120.0,99,1.0,111.42857142857143,99.0
7,120.0,99,1.0,112.5,99.0
8,120.0,99,1.0,113.33333333333333,99.0
9,120.0,99,1.0,114.0,99.0
10,120.0,99,1.0,114.54545454545455,99.0
11,120.0,99,1.0,115.0,99.0
12,120.0,99,1.0,115.38461538461539,99.0
13,120.0,99,1.0,115.71428571428571,99.0
14,120.0,99,1.0,116.0,99.0
15,120.0,99,1.0,116.25,99.0
16,120.0,99,1.0,116.47058823529412,99.0
17,120.0,99,1.0,116.66666666666667,99.0
18,120.0,99,1.0,116.84210526315789,99.0
19,120.0,99,1.0,117.0,99.0
20,120.0,99,1.0,117.14285714285714,99.0
21,120.0,99,1.0,117.27272727272727,99.0
22,120.0,99,1.0,117.3913043478261,99.0
23,120.0,99,1.0,117.5,99.0
24,120.0,99,1.0,117.6,99.0
25,120.0,99,1.0,117.6923076923077,99.0
26,120.0,99,1.0,117.77777777777777,99.0
27,120.0,99,1.0,117.85714285714286,99.0
28,120.0,99,1.0,117.93103448275862,99.0
29,120.0,99,1.0,118.0,99.0
30,120.0,99,1.0,118.06451612903226,99.0
31,120.0,99,1.0,118.125,99.0
32,120.0,99,1.0,118.18181818181819,99.0
33,120.0,99,1.0,118.23529411764706,99.0
34,120.0,99,1.0,118.28571428571429,99.0
35,120.0,99,1.0,118.33333333333333,99.0
36,120.0,99,1.0,118.37837837837837,99.0
37,120.0,99,1.0,118.42105263157895,99.0
38,120.0,99,1.0,118.46153846153847,99.0
39,120.0,99,1.0,118.5,99.0
40,120.0,99,1.0,118.53658536585365,99.0
41,120.0,99,1.0,118.57142857142857,99.0
42,120.0,99,1.0,118.6046511627907,99.0
43,120.0,99,1.0,118.63636363636364,99.0
44,120.0,99,1.0,118.66666666666667,99.0
45,120.0,99,1.0,118.69565217391305,99.0
46,120.0,99,1.0,118.72340425531915,99.0
47,120.0,99,1.0,118.75,99.0
48,120.0,99,1.0,118.77551020408163,99.0
49,120.0,99,1.0,118.8,99.0
50,120.0,99,1.0,118.82352941176471,99.0
51,120.0,99,1.0,118.84615384615384,99.0
52,120.0,99,1.0,118.86792452830188,99.0
53,120.0,99,1.0,118.88888888888889,99.0
54,120.0,99,1.0,118.9090909090909,99.0
55,120.0,99,1.0,118.92857142857143,99.0
56,120.0,99,1.0,118.94736842105263,99.0
57,120.0,99,1.0,118.96551724137932,99.0
58,120.0,99,1.0,118.98305084745763,99.0
59,120.0,99,1.0,119.0,99.0
60,120.0,99,1.0,119.01639344262296,99.0
61,120.0,99,1.0,119.03225806451613,99.0
62,120.0,99,1.0,119.04761904761905,99.0
63,120.0,99,1.0,119.0625,99.0
64,120.0,99,1.0,119.07692307692308,99.0
65,120.0,99,1.0,119.0909090909091,99.0
66,120.0,99,1.0,119.1044776119403,99.0
67,120.0,99,1.0,119.11764705882354,99.0
68,120.0,99,1.0,119.1304347826087,99.0
69,120.0,99,1.0,119.14285714285714,99.0
70,120.0,99,1.0,119.15492957746478,99.0
71,120.0,99,1.0,119.16666666666667,99.0
72,120.0,99,1.0,119.17808219178082,99.0
73,120.0,99,1.0,119.1891891891892,99.0
74,120.0,99,1.0,119.2,99.0
75,120.0,99,1.0,119.21052631578948,99.0
76,120.0,99,1.0,119.22077922077922,99.0
77,120.0,99,1.0,119.23076923076923,99.0
78,120.0,99,1.0,119.24050632911393,99.0
79,120.0,99,1.0,119.25,99.0
80,120.0,99,1.0,119.25925925925925,99.0
81,120.0,99,1.0,119.26829268292683,99.0
82,120.0,99,1.0,119.27710843373494,99.0
83,120.0,99,1.0,119.28571428571429,99.0
84,120.0,99,1.0,119.29411764705883,99.0
85,120.0,99,1.0,119.30232558139535,99.0
86,120.0,99,1.0,119.3103448275862,99.0
87,120.0,99,1.0,119.31818181818181,99.0
88,120.0,99,1.0,119.32584269662921,99.0
89,120.0,99,1.0,119.33333333333333,99.0
90,120.0,99,1.0,119.34065934065934,99.0
91,120.0,99,1.0,119.34782608695652,99.0
92,120.0,99,1.0,119.35483870967742,99.0
93,120.0,99,1.0,119.36170212765957,99.0
94,120.0,99,1.0,119.36842105263158,99.0
95,120.0,99,1.0,119.375,99.0
96,120.0,99,1.0,119.38144329896907,99.0
97,120.0,99,1.0,119.38775510204081,99.0
98,120.0,99,1.0,119.39393939393939,99.0
99,120.0,99,1.0,119.4,99.0
100,120.0,99,1.0,120.0,99.0
101,120.0,99,1.0,120.0,99.0
102,120.0,99,1.0,120.0,99.0
103,120.0,99,1.0,120.0,99.0
104,120.0,99,1.0,120.0,99.0
105,120.0,99,1.0,120.0,99.0
106,120.0,99,1.0,120.0,99.0
107,120.0,99,1.0,120.0,99.0
108,120.0,99,1.0,120.0,99.0
109,120.0,99,1.0,120.0,99.0
110,120.0,99,1.0,120.0,99.0
111,120.0,99,1.0,120.0,99.0
112,120.0,99,1.0,120.0,99.0
113,120.0,99,1.0,120.0,99.0
114,120.0,99,1.0,120.0,99.0
115,120.0,99,1.0,120.0,99.0
116,120.0,99,1.0,120.0,99.0
117,120.0,99,1.0,120.0,99.0
118,120.0,99,1.0,120.0,99.0
119,120.0,99,1.0,120.0,99.0
120,120.0,99,1.0,120.0,99.0
121,120.0,99,1.0,120.0,99.0
122,120.0,99,1.0,120.0,99.0
123,120.0,99,1.0,120.0,99.0
124,120.0,99,1.0,120.0,99.0
125,120.0,99,1.0,120.0,99.0
126,120.0,99,1.0,120.0,99.0
127,120.0,99,1.0,120.0,99.0
128,120.0,99,1.0,120.0,99.0
129,120.0,99,1.0,120.0,99.0
130,120.0,99,1.0,120.0,99.0
131,120.0,99,1.0,120.0,99.0
132,120.0,99,1.0,120.0,99.0
133,120.0,99,1.0,120.0,99.0
134,120.0,99,1.0,120.0,99.0
135,120.0,99,1.0,120.0,99.0
136,120.0,99,1.0,120.0,99.0
137,120.0,99,1.0,120.0,99.0
138,120.0,99,1.0,120.0,99.0
139,120.0,99,1.0,120.0,99.0
140,120.0,99,1.0,120.0,99.0
141,120.0,99,1.0,120.0,99.0
142,120.0,99,1.0,120.0,99.0
143,120.0,99,1.0,120.0,99.0
144,120.0,99,1.0,120.0,99.0
145,120.0,99,1.0,120.0,99.0
146,120.0,99,1.0,120.0,99.0
147,120.0,99,1.0,120.0,99.0
148,120.0,99,1.0,120.0,99.0
149,120.0,99,1.0,120.0,99.0
150,120.0,99,1.0,120.0,99.0
151,120.0,99,1.0,120.0,99.0
152,120.0,99,1.0,120.0,99.0
153,120.0,99,1.0,120.0,99.0
154,120.0,99,1.0,120.0,99.0
155,120.0,99,1.0,120.0,99.0
156,120.0,99,1.0,120.0,99.0
157,120.0,99,1.0,120.0,99.0
158,120.0,99,1.0,120.0,99.0
159,120.0,99,1.0,120.0,99.0
160,120.0,99,1.0,120.0,99.0
161,120.0,99,1.0,120.0,99.0
162,120.0,99,1.0,120.0,99.0
163,120.0,99,1.0,120.0,99.0
164,120.0,99,1.0,120.0,99.0
165,120.0,99,1.0,120.0,99.0
166,120.0,99,1.0,120.0,99.0
167,120.0,99,1.0,120.0,99.0
168,120.0,99,1.0,120.0,99.0
169,120.0,99,1.0,120.0,99.0
170,120.0,99,1.0,120.0,99.0
171,120.0,99,1.0,120.0,99.0
172,120.0,99,1.0,120.0,99.0
173,120.0,99,1.0,120.0,99.0
174,120.0,99,1.0,120.0,99.0
175,120.0,99,1.0,120.0,99.0
176,120.0,99,1.0,120.0,99.0
177,120.0,99,1.0,120.0,99.0
178,120.0,99,1.0,120.0,99.0
